class,description
2," NEW YORK (Reuters) - Weyerhaeuser Co.'s third-quarter  profit rose on higher prices for lumber and a large gain from  the sale of timberlands in Georgia, the company said on Friday."
3,Among the devices used was a futuristic plasma monitor designed by three technology companies specifically for CBS.\&lt;br /&gt;\ Screen shots: Election night gadgets
0,"AP - Sure, there were hours-long lines, temperamental electronic machines and some old-fashioned misplaced ballots, but America's democracy worked well enough on Nov. 2 to elect a president."
0," SANTIAGO, Chile (Reuters) - Three court-appointed doctors  examined Chile's former military dictator Augusto Pinochet on  Thursday, a key step that will decide whether the 88-year-old  general will stand trial for human rights abuses."
0,Palestinian militant group Hamas swears vengeance for 14 of its members killed in an Israeli air strike on Gaza.
3,"Two of Germany's biggest banks, Postbank and Deutsche Bank, were the targets of coordinated phishing attacks last week."
1,"They symbolise two very different eras of English football, and yesterday the philosophies of David Beckham and Sir Geoff Hurst clashed in spectacular fashion when the "
3,"It #39;s no secret that Oracle (Quote, Chart) has been considering a dip in the enterprise content management well, especially after companies like Microsoft (Quote, Chart), IBM (Quote, Chart) and EMC (Quote, Chart) made such a splash in the sector over the "
2,"A competitor to Huffy Corp., which filed Wednesday for Chapter 11 bankruptcy protection, said it was interested in buying Huffy, which makes about a third of the bicycles sold in the United States."
1,"ALAN SHEARER last night stepped into the ward of words between Craig Bellamy and Newcastle over Wayne Rooney by saying,  quot;Let #39;s go out and sign him."
1,Justine Henin-Hardenne staged one of the greatest comebacks of her career to fight back from 5-1 down in the final set and beat French Open champion Anastasia Myskina 
0,AP - Descendants of the native American warrior Crazy Horse want a change in the famed Paris strip club named after him.
2,"Euro Disney plans a life-saving 250 million euro (\$322 million) capital increase in mid-January if market conditions permit, said its finance "
0,"More international co-operation is needed if spam is to be stopped, a conference is told."
3,"Reuters - Jerry Seinfeld is returning to NBC,\along with TV pals Elaine, George and Kramer, for a special\Thanksgiving Day retrospective on the smash hit ""show about\nothing,"" the network said on Thursday."
3,"AP - New strategies to confront global warming took center stage in Buenos Aires on Monday, where thousands of environmentalists and government policy-makers gathered for an international conference on climate change."
2,"THE global economy is slowly recovering, and with it hopes for a sustained period of economic growth in all regions. South Africa #39;s economic future is tied to that of the rest of the world and for this reason "
2," CHICAGO (Reuters) - Motorola Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MOT.N target=/stocks/quickinfo/fullquote""&gt;MOT.N&lt;/A&gt;, the world's No.  2 maker of cell phones, on Tuesday said its quarterly profit  rose sharply, helped by improving sales of a host of new  handset models."
1,A mystery at the center of track and field #39;s biggest doping scandal has finally been solved. Top track coach Trevor Graham has admitted he was the coach who anonymously sent a syringe of THG to the US Anti 
3,"Is the strutting sage grouse, iconic bird of the Western steppe, an endangered species? No doubt about it, say environmentalists, who petitioned for federal protection for the  quot;cock of the prairie, quot; as Lewis and Clark fondly dubbed it."
1,"Here it comes. You can feel the rumbling of anticipation now. Just two games into the American League playoffs, we already have a colossal collision coming into focus."
1,"Corey Patterson smacked a two-out, two-run home run in the ninth inning Wednesday to lift the Chicago Cubs to a 4-2 victory and complete a sweep of the Milwaukee Brewers."
2," NEW YORK (Reuters) - XM Satellite Radio &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=XMSR.O target=/stocks/quickinfo/fullquote""&gt;XMSR.O&lt;/A&gt; on  Wednesday said it signed a \$650 million deal to broadcast Major  League Baseball games for 11 years, countering a rival's moves  to sign up high-profile programing that will lure listeners to  the new medium."
0,"As debate in the G.O.P.-controlled Senate opened, the chamber's leaders predicted the bill would easily pass."
2,"Shareholders of the South African mining company Gold Fields rejected a bid to merge with Iamgold of Toronto Tuesday, a development that shifted investors #39; focus back to Harmony Gold Mining #39;s hostile bid for Gold Fields."
3,"SPAM could become a thing of the past in around two years #39; time, Microsoft chairman Bill Gates said on a visit to Madrid.  quot;Spam is a major security problem, quot; Mr Gates said, noting that progress had been made in the fight against unsolicited mail."
2,Argentina announced it had filed a proposal Monday before the US Securities and Exchange Commission to restructure US\$81.8 billion (euro64 billion) in defaulted public debt.
0,"A suicide car bomber rammed into an army convoy in Indian-controlled Kashmir on Saturday, triggering an explosion that left four people dead and 22 wounded, the army said."
1,"ANAHEIM, California -- The Anaheim Angels are keeping it close in the AL West. Garret Anderson hit a tie-breaking double in the eighth inning, Darin Erstad had a three-run homer and the Angels beat Oakland "
1,"Chicago Cubs shortstop Nomar Garciaparra expects to return to the lineup tonight after being out since Sept. 11 with a strained groin. Manager Dusty Baker said the plan is to play Garciaparra tonight, rest him for tomorrow's afternoon game, and then start him again Friday in New York.  quot;Hopefully, knock on wood, he can play every game after that, quot; Baker ..."
1,Tim Henman was due to began his bid for a third Swiss Indoors title in Basel today as the top-ranked player following the withdrawal of Roger Federer with a thigh injury.
1,"HOMESTEAD, Fla. - Kurt Busch wanted everyone else in contention to win the Nextel Cup Series championship to chase him in the Ford 400."
2,"The European Commission froze its threat of fines against France and Germany on Tuesday, granting the two biggest economies in the euro zone an extra year to bring down their bloated budget deficits."
1,NEW ORLEANS -- Stefan LeFors returned to his home state for the final time as a collegian and led Louisville to a record-setting performance.
3,AFP - Online auction site eBay said it has launched its operations in the Philippines.
0,"ABUJA, Aug 29 (AFP) -- The Sudanese government said here Sunday that it must approve any increase in the number of African Union troops to crisis-ridden Darfur above the 300 soldiers agreed last month with the AU."
0,"World-renowned thinker Jacques Derrida, a charismatic philosopher who founded the school known as deconstructionism, has died, the French president #39;s office said Saturday."
1,"LONDON (AFP) - A British court slapped a 1,000-pound (1,880-dollar) fine and a five-year football ground ban on a fan for hurling monkey chants at Birmingham City striker Dwight Yorke."
1,"LeBron James has a stellar all-around game with 31 points, eight assists and seven steals to lead Cleveland over Memphis, 92-86."
1,"AP - Florida coach Urban Meyer nearly filled out his coaching staff Monday, keeping two assistants from Ron Zook's staff and bringing four with him from Utah."
0,"Secretary of State Colin Powell says the United States believes a recent explosion in North Korea was, in his words, not a nuclear event."
0," DHAKA (Reuters) - At least four people were killed when one  or more bombs exploded as former Bangladesh prime minister  Sheikh Hasina Wajed addressed a public meeting outside her  party headquarters on Saturday, police and witnesses said."
0,"A rescuer carries the recorder found in the wreckage of a Russian Tupolev Tu-154, one of two planes to crash after taking off from the same airport 40 minutes apart."
3,TechWeb - A UK government report encourages public agencies to consider using Linux and other open-source alternatives to commercial software.
0,"AFP - French companies and farmers have reeled in deals reportedly worth up to five billion euros (dollars) in China during a state visit to the country by President Jacques Chirac, but executives were said to be disappointed that bigger business was not won."
0,"CAIRO (AFP) - Egypt announced it had arrested five of the nine men who bombed Red Sea resorts almost three weeks ago, saying the attackers used stolen cars packed with old war-time explosives and a washing-machine timer."
0,The failure of the Indian Government and an American corporation to tackle the after-effects of one of the worst industrial accidents in history has left a legacy of continuing pollution 
0," MIAMI (Reuters) - Powerful Hurricane Ivan, the latest in a  busy storm season, rushed over the Atlantic Ocean on Monday and  threatened the eastern Caribbean Windward Islands."
0,George W. Bush is a product of the Wild West myth. He sees himself as the fast-drawing sheriff who kills the bad guys and maintains order in town.
0,"AP - Chief Justice William H. Rehnquist, suffering from thyroid cancer, still plans to preside at President Bush's inauguration on Jan. 20, The Associated Press has learned."
3,"Windows XP Media Center Edition 2005 supports DVD burning, HDTV, and improved support for mobile devices."
0,"AP - President Bush and John Kerry switched places Sunday, the president campaigning in New Mexico where Kerry was the day before and the Democratic senator taking Bush's place in Florida."
1,AP - Michael Finley capped his 27-point night with a 17-foot jumper with 3.2 seconds left to lead the Dallas Mavericks to a 94-93 victory over the Chicago Bulls on Monday night.
0,"A rocket attack killed one Pakistani paramilitary soldier and wounded eight more, three of them seriously, in the western tribal region where troops are hunting al Qaeda-linked militants, officials said on Sunday."
0,"Terrorism News, London,Britain is drawing up far-reaching proposals to tackle terrorism, including allowing the use of phone-taps as evidence in trials and special anti-terror courts."
0,"AP - President Bush has been gaining ground among overall voters as a leader and the man to fight terrorism, but swing voters have been less impressed, a tracking poll suggests."
3,"The dictionary module has been integrated into the word processor and is also a stand-alone application in the Works Task Launcher. A thesaurus has been included, as well as the option to set parental controls. "
1,Amir Khans victory sparked scenes of celebration tonight in the two towns where the boxing sensation lives and trains. Family and friends in Bolton and Bury heaped praise on the 
1,"Little Rock, AR -- Dwyane Wade scored 20 points, including eight in the decisive third quarter, to lead the Miami Heat to an 83-74 win over the Detroit Pistons, 83-74, in preseason action."
3,"The world is on the verge of a water crisis as people fight over ever dwindling supplies, experts told the Stockholm Water Symposium."
2,"Zack Diarra, the owner of Timbuktu Fashions, had been ""scared to death"" of Wal-Mart, worried the nation's biggest retailer would undercut his clothing prices and wipe out his eight-month-old business."
3,"In the latest volley of the file-sharing wars, the movie and music industries have filed a petition asking the US Supreme Court to overturn a federal appeals court decision that favored Grokster and StreamCast Networks, the makers of software that allow "
1,"Paradorn Srichaphan of Thailand beat Argentine Mariano Zabaleta 7-6 (3), 6-4 in a first round match Monday at the Paris Masters, setting up a clash with defending champion Tim Henman."
3,Google has launched a beta test to let US mobile phone and handheld device users tap into its search results via the short message service (SMS) platform.
2," WASHINGTON (Reuters) - BellSouth Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BLS.N target=/stocks/quickinfo/fullquote""&gt;BLS.N&lt;/A&gt; on Monday  said third-quarter earnings fell due to storm damage in its  region and costs stemming from Cingular Wireless' planned \$41  billion purchase of AT T Wireless Services Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AWE.N target=/stocks/quickinfo/fullquote""&gt;AWE.N&lt;/A&gt;."
3,"AP - No longer only a war of words, Apple Computer Inc. has quietly started to block the technology that RealNetworks Inc. created to get around the iPod music player's copy-protection armor."
2,An affiliate of Colony Capital has agreed to buy four properties from Caesars Entertainment Inc. and Harrah #39;s Entertainment Inc.
2," NEW YORK (Reuters) - U.S. stocks were set to open near  unchanged on Thursday after a warning from technology  bellwether Nortel Networks Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=NT.N target=/stocks/quickinfo/fullquote""&gt;NT.N&lt;/A&gt; dimmed hopes, while  stubbornly high oil prices also weighed on sentiment."
2,Michael Eisner reportedly has told Walt Disney Co. directors that company President Robert Iger is his  quot;preferred choice quot; to succeed him as chief executive of the media 
3,DENVER -- Coloradans willing to brave the nighttime cold and get away from the lights of the city could be in for a spectacular show Monday night.
3,"Interpretations of the insanity plea have changed through the ages, but advances in neuroscience promise to redefine free will and personal responsibility, and change the way we think about punishment. By Rowan Hooper."
2,"LOS ANGELES - California #39;s economy gained 4,900 payroll jobs in September, the state #39;s Employment Development Department said Monday."
1,"Determined to give his best setup man, Tom Gordon, the night off, Manager Joe Torre watched as the Yankees disintegrated in the eighth inning Saturday."
0,German airline Lufthansa reaches a deal with unions on pay and working hours for its ground staff.
1,"AP - Waiting has become a part-time job for Lee Suggs, one he'd like to quit for good."
1,"Because rarely is a rally so improbable, even the man who pulled it off didn #39;t believe he could. On the same day he crash-landed on the vault and dropped to 12th place, Hamm nailed his final two routines Wednesday evening to claim ..."
1,"WAYNE ROONEY launched himself into the footballing stratosphere with a debut hat-trick at Old Trafford last night. On this evidence, Sir Alex Ferguson would have made a wise investment if he had spent the "
0,"&lt;p&gt;&lt;/p&gt;&lt;p&gt; By Hugh Bronstein&lt;/p&gt;&lt;p&gt; BOGOTA, Colombia (Reuters) - Colombia will require banksand money changers to report all international transfers ofmore than \$200 starting next year to help combat drug moneylaundering and ""narco terrorists"" and control the strength ofthe peso.&lt;/p&gt;"
0,ISN SECURITY WATCH (01/11/04) - The breakaway Taliban group Jaish-e-Muslimeen (Army of Muslims) has threatened to execute three foreign hostages unless all international troops leave Afghanistan and all Muslim prisoners are freed from US jails.
1,"DEEP in the heart of the Indian subcontinent, the Australian Test side last night was celebrating an historic victory, having conquered cricket #39;s final frontier with a Test to spare."
0,"India News: New Delhi, Nov 25 : The Supreme Court Thursday permitted the Uttar Pradesh government to allow visitors to view the Taj Mahal on five moonlit nights a month."
3,The Motion Picture Association of America is launching civil and criminal actions worldwide against movie pirates in a bid to curb illegal film downloading.
3,"Stunned British and American scientists watched a seven-year dream fall to Earth yesterday at 150mph, potentially smashing the fruits of a \$250m mission."
2," NEW YORK (Reuters) - U.S. stocks to watch on Wednesday  include Sears, Roebuck   Co., Kmart Holding Corp.,  Hewlett-Packard Co., and Network Appliance Inc.  "
3,"Dr Bunsen Honeydew and his indestructible lab assistant, Beaker, are the UK's favourite TV boffins."
1,"Maria Sharapova #39;s drive to win another Grand Slam title ended on Saturday when she lost to Mary Pierce 4-6, 6-2, 6-3 in the third round of the US Open."
0,The toll from Sunday #39;s car bomb blast in Kabul rose Monday with different accounts from Western security forces and Afghan officials suggesting as many as a dozen people may have been killed.
0,"Reuters - U.S. shares are set to open higher on\Friday, buoyed by Intel Corp.  after the world's\largest chip maker raised its quarterly revenue target due to\strong demand, but all eyes will be on jobs data before the\opening."
0,"BAGHDAD -- Trembling, haggard, and weeping into a tissue, Margaret Hassan, the kidnapped British aid worker who has spent nearly half her life delivering food and medicine in Iraq, begged Britain yesterday to help save her by withdrawing its troops, saying these  quot;might be my last hours. quot;"
1,Yousuf Youhana steered Pakistan to a last-over victory over India to clinch a Champions Trophy semi-final against the West Indies on Wednesday.
3,"Open source application servers vendor JBoss Inc will today release version 4.0 of its core JBoss AS product, which is claimed to be the first open source application server to support AOP (aspect oriented programming) for Java."
2,"Walt Disney Chairman George Mitchell said he was asked to become company president before the job was offered to Michael Ovitz, disputing testimony by CEO Michael Eisner."
1,"NEW YORK -- The Charlotte Sting, who just missed the playoffs last season, won the WNBA draft lottery on Wednesday night. After finishing just two games under .500, the Sting will have the first pick in the WNBA draft in April 2005."
2,"VANCOUVER - A Vancouver-based firm won #39;t sell 1.2 million doses of influenza vaccine to the United States after all, announcing Tuesday that it will sell the doses within Canada instead."
0,Citizens of Mexico pause to celebrate 150th anniversary of the country's national anthem.
1,"Farmington - Vijay Singh, who knocked Tiger Woods off the top of the world rankings this month for the first time in over five years, eclipsed Woods #39; earnings record for a single season when he won the 84 Lumber Classic here on Sunday."
3,"Manugistics Group Inc. disclosed Monday that it fired its president, as the maker of business software tries to reverse slipping sales, rising costs and a falling stock price. &lt;BR&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;"
2,"PalmSource today announced Jean-Louis Gassee has been appointed Chairman of the PalmSource Board of Directors. Gassee, 60, was appointed to the Company #39;s Board of Directors in May 2002."
0,"Some 100,000 Liberians, who fled 14 years of war, are being sent home a year after the fighting ended."
0,A top official in Colombia says the country #39;s largest Marxist rebel group targeted President Bush for assassination when he visited Cartagena this past week.
3,"November 03, 2004 - Grand Theft Auto: San Andreas set a new record by selling 677,000 copies in the first weekend of sales in the UK."
2,JAKARTA (Dow Jones)--A consortium led by Standard Chartered PLC (STAN.LN) has won the bidding for a 51 stake in PT Bank Permata (BNLI.
0,Prosecutors said Tuesday that they would charge a Dutch chemicals dealer as an accomplice to genocide for supplying Saddam Hussein with lethal chemicals used in 
2,"A US appeals court on Thursday turned down ABB #39;s (ABBN.VX: Quote, Profile, Research) (ABB.N: Quote, Profile, Research) proposed \$1.2 billion settlement of an asbestos lawsuit involving the Swiss engineering group #39;s Combustion "
1,"Running back Willis McGahee has asked the Buffalo Bills to trade him if he is not their starter on opening day, a source told The Associated Press on Friday."
2,Stake in Deutsche Telekom AG may be sold by Germany for 4.45 billion (\$5.5 billion) as EU faces finance deficits and seeks for the ways to resolve the problem.
2,Parmalat issues proceedings against its ex-auditors over their dealings with the insolvent group before its near collapse
0,"President Bush #39;s electoral victory was greeted internationally on Wednesday with a mixture of praise, disappointment and pragmatic resignation as world leaders jostled "
0,AFP - French President Jacques Chirac will put forward ideas for an international tax scheme that would help build a 50-billion-dollar war chest to fight poverty during a 55-nation conference on economic development opening Monday in New York.
2,The future suddenly looks shaky for online DVD rental pioneer Netflix Inc. - a plucky home entertainment upstart that managed to hold its ground after retailing giants Wal-Mart Stores Inc.
2,"The WPP Group, the world #39;s second-largest advertising and marketing company, reported on Friday that profit for the first half of the year rose 11 percent, providing further "
3,A group of small telephone companies said Thursday it #39;s worried that state regulators next week will allow telecommunications giant SBC Communications Inc.
3,"The computer crash that shut down systems at Britain #39;s Department for Work and Pensions only caused delays in dealing with new and amended claims, according to the agency."
3," NEW YORK (Reuters) - Video game publisher Acclaim  Entertainment Inc. &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=AKLM.PK qtype=sym infotype=info qcat=news""&gt;AKLM.PK&lt;/A&gt;, which has been hampered by a lack  of hit titles, filed for bankruptcy liquidation on Thursday  after failing to line up new financing."
3,Hewlett-Packard is considering an expansion of its research operations in Puerto Rico for pharmaceutical work and other tasks.
1,"Motorsport.com. Makoto Tamada will start tomorrow #39;s Japanese GP at Motegi in pole position. The Japanese Honda rider stole pole position from fellow Bridgestone-shod rider, John Hopkins, in "
0," PATTANI, Thailand (Reuters) - Bomb blasts rocked southern  Thailand on Friday as Prime Minister Thaksin Shinawatra  promised to get to the bottom of the deaths of 78 Muslims in  military custody and punish any ""wrongdoers."""
2,"Forbes.com - Early last year 61-year-old Judy Norris was ready to stop all treatment and let her cancer run its course. Her kidney tumor, diagnosed in 1997, had spread to her abdomen, pancreas and both lungs. Six months of treatment with toxic interleukin-2, one of the only treatments for advanced kidney cancer, had eroded nerves in her hands and feet, caused frequent vomiting and made her skin peel all over--but did nothing to slow the tumors' relentless growth. In June, in a last-ditch effort to save her life, her oncologist recommended an experimental pill from Pfizer called SU11248. ..."
0,"The United States embassy in Damascus, Syria, says it has temporarily closed its doors to the public to re-evaluate its security but would not say if it is the target of a specific threat."
0,"BAGHDAD : Iraq #39;s interim President Ghazi al-Yawar, ahead of a meeting with US President George W. Bush, rejected any delay to January 30 polls, saying postponement would hand victory to the  quot;forces of darkness quot;."
3,"Reuters - A chimp-sized human ancestor walked\upright 6 million years ago, far earlier than anyone had been\able to show before, researchers reported on Thursday."
2,"The US government is planning to purchase 5 million doses of flu vaccine from Canadian and German plants to deal with their shortages, the Canadian Broadcast Corporation (CBC) reported Monday."
0,"AFP - Three Georgian soldiers have been killed and five wounded in clashes in Georgia's separatist region of South Ossetia, Rustavi 2 television reported, quoting an unnamed official with the Georgian interior ministry."
0,"POLAND WASHINGTON -- The prime minister of Poland told his Parliament yesterday that he would begin reducing the number of Polish troops in Iraq in January, another blow to the US-led coalition that has lost nearly a third of its members this year. Addressing legislators before a vote of confidence, Prime Minister Marek Belka promised, ''We will not remain in ..."
0,The Irish government has given Kenneth Bigley - kidnapped in Iraq - an Irish passport in a bid to stress his non-British roots. It was issued following appeals from his family and his dual citizenship means 
1,"It might make the racing crowd cringe, but what NASCAR boss Brian France is doing to manufacture excitement at a time of the year when racing usually hits a lull and sports fans "
0,"Secretary of State Colin L. Powell, in Asia to prod North Korea to return to talks on ending its nuclear programs, said Sunday that while there is still time to resolve the impasse, ""there is a sense of urgency."""
3,"A Russian-US crew returned to Earth from the international space station Sunday in a pinpoint landing on the Kazakhstan steppe, and NASA #39;s chief said the United States "
1,"Annika Sorenstam calmly sank a short birdie putt on the ninth hole, earning a hug from Tiger Woods. More importantly, it kept \$250,000 in play in the Skins Game in La Quinta, Calif."
1,Los Angeles outfielder Milton Bradley won #39;t be discplined by the Dodgers for a clubhouse confrontation with a reporter he called an  quot;Uncle Tom.
0," STOCKHOLM (Reuters) - Thieves, rapists, kidnappers and  hoaxers are preying on tsunami survivors and families of  victims in Asian refugee camps, hospitals and in the home  countries of European tourists hit by the wave."
1,NEW YORK -- Slice it any which way and the pie looks the same. The piece that represents the odds of the Red Sox overtaking the Yankees for the division title after a lost weekend in the Bronx is skinnier than Calista Flockhart.
3,"A potential gas source found on the moon #39;s surface could hold the key to meeting future energy demands as the earth #39;s fossil fuels dry up in the coming decades, scientists said."
3,"PalmSource has been busy lately, and has now announced updates to both of its OS lines as well as a new web browser and OTA installer."
0,"AN Olympic Airways plane bound for New York with 295 passengers aboard was being diverted to Shannon airport in Ireland after an Athens newspaper received warning of a bomb on board, a company spokesman said."
1,"Left tackle Matt Light signed a six-year contract extension with the Patriots that will keep him in New England through 2010, giving him and the quarterback he protects long-term security."
2,"Reuters - Cox Enterprises Inc. on Tuesday said\it will purchase Cox Communications Inc.'s  minority\public stake for  #36;8.3 billion, in a move to privatize the\publicly traded cable company and insulate it from the short\term demands of Wall Street."
0,"AP - President Bush said Monday that rival John Kerry's foreign policy stands ""are dangerous for world peace,"" leveling some of his harshest criticism of the campaign during a trip to an important battleground state. Bush also signed tax relief legislation for 94 million Americans and hit Kerry on that issue, too."
0,"The monarch of oil-rich Brunei reopened the tiny country #39;s parliament for the first time in 20 years on Saturday, but made no mention of elections and warned his subjects not to get carried away."
1,"The Sox, who entered play Tuesday with 28 wins in their last 35 games, continued their gradual descent back to Earth by falling to the Devil Rays, 5-2, in front of another sellout crowd of 35,118 at Fenway Park."
0,"AP - A rapidly strengthening Hurricane Ivan churned closer to the Caribbean, packing sustained winds of 135 mph with meteorologists saying it's possible that the system could reach Category 5 status."
0,"All facts,challenges and problems considered, and there are many (from the security issue to the mobilization of a brand new free nations with very little if at all infrastructure and functioning civil society to ethnic, economical and political factor "
2,"A gauge of future business activity fell in August, indicating company managers and US consumers remain uncertain about the economy."
2,President Vladimir Putin said Monday that Russia and Belarus have put a sharp dispute over natural gas deliveries behind them and that there are no obstacles to good relations.
0,The US vice-presidential candidates will debate on Tuesday as the race for the White House remains close.
1," ATHENS (Reuters) - A medical examiner has found that Greek  sprinter Katerina Thanou, who was in hospital with fellow  athlete Costas Kenteris, had no injuries, a judicial source  said on Tuesday."
2,Paint giant Sherwin-Williams is one step closer to completing its \$253 million acquisition of Beltsville-based Duron. The Federal Trade Commission has terminated its review of the proposed merger and will not contest it.
1,"Rebecca Much of the United States won the silver medal in the junior time trial Monday at the road cycling world championships. Tereza Hurikova of the Czech Republic was the winner, following her bronze medal on a mountain bike Sept."
3,"Reuters - Large nostrils count more than a big\nose when it come to smelling power, said German scientists on\Wednesday after completing a three-year-long study aimed at\treating smelling disorders."
0,"Reuters - The State Department said on Tuesday\it had information that ""terrorists may be planning to launch\new attacks"" in Uzbekistan around the time of Uzbek\Independence Day celebrations in early September."
0,Iran and its European partners struggled to salvage their agreement committing Tehran to freeze an important part of its nuclear program.
3,"BANGALORE, INDIA - India's software services and business process outsourcing (BPO) industries could face a shortage of skilled workers in the coming years, according to the National Association of Software and Service Companies (NASSCOM) in Delhi."
1,"Martinez passes his physical, and the Mets finalize their \$53 million, four-year contract with the pitcher."
2," PHILADELPHIA (Reuters) - Travel and real estate heavyweight  Cendant Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CD.N target=/stocks/quickinfo/fullquote""&gt;CD.N&lt;/A&gt; is nearing a deal to buy online travel  site Orbitz Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ORBZ.O target=/stocks/quickinfo/fullquote""&gt;ORBZ.O&lt;/A&gt;, which is controlled by the top five  U.S. airlines, for about \$1.2 billion in cash, a source close  to the talks said on Tuesday."
3,"In its campaign to discredit Linux, the main rival to its Windows operating system, Microsoft (MSFT ) once published a witty print advertisement in Germany that showed four penguins standing in a row."
1,America's Katie Smith reinjures her right knee early in a dominating 100-62 women's basketball victory over China on Sunday.
0,\An antibiotic used to treat leprosy and tuberculosis is showing promise as a therapy for Parkinson's disease.
1,"EAGLE, Colo. -- The rape case against Kobe Bryant finally fell to pieces shortly after 11 a.m. Wednesday, when his accuser called District Attorney Mark Hurlbert to say she had had enough and would no longer cooperate. The call set in motion a series of events that ended with the charges being thrown out little more than eight hours later."
1,"MONTE CARLO, November 23 (Champions League) - A controversial Javier Saviola goal left Liverpool #39;s hopes of a place in the Champions League second round hanging by a thread as Monaco claimed all three points in the Principality."
0,AFP - Sudan's foreign minister rejected US charges of genocide in the western region of Darfur as a reelection ploy by US President George W. Bush.
3," CANNES, France (Reuters) - Concerns about soaring oil  prices and terrorism have injected fresh caution into global  markets over the last six months, executives and investors said  at a technology conference in Cannes."
3,"Tech companies can #39;t just have products. They have to have a vision. At IBM, it #39;s  quot;on-demand quot; computing. At companies in just about any business more complicated than hubcaps, it #39;s  quot;selling solutions."
3,"Next week brings the return of the famous Leonid meteor shower, a meteor display that over the past several years has brought great anticipation and excitement to sky watchers around the world."
1,"AP - Andre Agassi breezed into the quarterfinals of the Legg Mason Tennis Classic with a 6-4, 6-2 victory over Kristian Pless on Thursday night."
0,"While most of the country #39;s attention has been focused on Iraq, a human-rights crisis has been unfolding in north Africa. In Darfur, Sudan, more than 50,000 people have been killed and 1.2 million displaced "
2,"Wall Street bounded higher for the second straight day yesterday as investors reveled in sharply falling oil prices and the probusiness agenda of the second Bush administration. The Dow Jones industrials gained more than 177 points for its best day of 2004, while the Standard  amp; Poor's 500 closed at its highest level since early 2002."
3,"TheDeal.com - The judge, who will not rush to return a verdict in the Oracle-PeopleSoft case, indicates PeopleSoft can keep its CAP."
2,"Kinder Morgan Energy Partners LP in Houston has signed a definitive agreement to buy nine refined petroleum products terminals in the Southeast, including one in Greensboro, from Charter Terminal Co."
0," PUL-I-CHARKI, Afghanistan (Reuters) - Hundreds of  Pakistanis who fought alongside the Taliban against U.S-led  forces after the Sept. 11, 2001, attacks on the United States  were released from an Afghan jail Sunday after nearly three  years as prisoners of war."
0,"VIENNA, Austria - Defying a key demand set by 35 nations, Iran announced Tuesday it has started converting raw uranium into the gas needed for enrichment, a process that can be used to make nuclear weapons.    Iran's president, Mohammad Khatami, vowed his country will press ahead with its nuclear program - which he insisted is peaceful - even if it means a rupture with the U.N..."
3,"Putting a bounty on spammer #39;s heads, as proposed in the CAN-SPAM Act, could be an expensive undertaking, according to a report from the Federal Trade Commission."
2,"Disney directors said they would hire an executive search firm immediately and name a successor by June to replace Michael D. Eisner, the current chief executive."
3,"EMC Corp. claims it has hit over 1,000 users and shipped more than 30 petabytes (30,000 TB) of storage capacity since the introduction of its Centera product in April 2002."
1,"Henry Bibby was fired as Southern California #39;s basketball coach Monday, just four games into his ninth season. The Trojans, beset by some player dissension, are 2-2."
0,"Following reports of fighting between different factions of former members of the Armed Forces of the Democratic Republic of the Congo (FARDC) and weapons distribution to civilians in North Kivu province, the United Nations mission today said it sent a "
3,The Internet megasite eBay yelled  #39;hold the cheese #39; when they found a 10-year-old grilled cheese sandwich that its owner says bears the image of the Virgin Mary being auctioned off on its website.
1,as far as ugly incidents -t a 2004 Olympics that had opened with such anxiety. Until Sunday night. A defrocked Irish 
2,A group of entrepreneurs backed by the likes of Bill Gates and Goldman Sachs Group Inc. are building tiny jets that cost a small fraction of what corporate executives and celebrities pay for luxury Learjets and Gulfstreams.
0," ISLAMABAD (Reuters) - Pakistani security forces have  arrested two important al Qaeda operatives, including an  Egyptian and a Saudi national, officials said Wednesday."
0,The smaller of Colombia's two leftist rebel groups offered Tuesday to meet with a Mexican mediator to discuss possible peace talks with the government and reiterated its call for a bilateral cease-fire.
1,Anaheim scored three runs in the eighth inning off Oakland relievers to rally for a victory and clinch the American League West title.
1,A magnificent unbeaten 81 from Yousuf Youhana and a devastating late cameo from Shahid Afridi made all the difference as Pakistan held their nerve to win a thrilling encounter at Edgbaston.
1,"Rubens Barrichello took advantage of a warm afternoon track in his native city to record the fastest time in practice Friday for the Brazilian Grand Prix, edging out Ferrari teammate Michael Schumacher as the pair set the pace for "
3,Controversial plan could force file swappers to face criminal charges.
3,"OCTOBER 25, 2004 (COMPUTERWORLD) - PeopleSoft Inc. today will announce that it #39;s porting the sales force automation module from the latest version of its CRM software to Research In Motion Ltd."
